id,customer,amount,days_overdue
01,Aditya Kumar,359653,108
02,Sarthak Singh,115185,152
03,Ananya Reddy,408452,88
04,Akash Kumar,174464,21
05,Ananya Reddy,272936,96
06,Riya Sen,7263,230
07,Riya Sen,159918,80
08,Arjun Mehta,54282,60
09,Sai Krishna,224425,256
10,Diya Verma,447772,145
11,Aarav Patel,85732,228
12,Kavya Nair,321444,131
13,Akash Kumar,330985,138
14,Riya Sen,75783,242
15,Sarthak Singh,225255,152
16,Aarav Patel,394240,177
17,Riya Sen,299891,362
18,Ishaan Gupta,380552,53
19,Akash Kumar,167715,177
20,Sarthak Singh,155969,152
21,Aarav Patel,454144,295
22,Vihaan Rao,183879,25
23,Sai Krishna,413462,237
24,Ishaan Gupta,463566,158
25,Aarav Patel,336568,214
26,Ananya Reddy,260177,53
27,Ananya Reddy,325115,30
28,Arjun Mehta,307177,282
29,Riya Sen,116494,232
30,Aditya Kumar,340946,330
31,Aditya Kumar,110359,293
32,Kavya Nair,206877,95
33,Sai Krishna,215048,271
34,Arjun Mehta,111977,134
35,Diya Verma,218603,51
36,Akash Kumar,130506,191
37,Rohan Sharma,138782,129
38,Aarav Patel,70783,353
39,Rohan Sharma,60448,343
40,Kavya Nair,219686,115
41,Ishaan Gupta,312623,296
42,Aarav Patel,256784,46
43,Sai Krishna,250460,237
44,Aarav Patel,210989,21
45,Kavya Nair,493935,351
46,Aarav Patel,152614,304
47,Ishaan Gupta,220295,205
48,Aarav Patel,345933,10
49,Sarthak Singh,357237,296
50,Sarthak Singh,176097,79
